restitution_center,month,year,resident_pop_month_start,resident_pop_month_end,resident_capacity
PASCAGOULA RESTITUTION CENTER,January,2017,69,76,NaN
GREENWOOD RESTITUTION CENTER,February,2017,56,54,NaN
HINDS RESTITUTION CENTER,February,2017,78,78,NaN
FLOWOOD RESTITUTION CENTER,February,2017,39,37,NaN
PASCAGOULA RESTITUTION CENTER,February,2017,76,75,NaN
GREENWOOD RESTITUTION CENTER,March,2017,54,53,NaN
HINDS RESTITUTION CENTER,March,2017,78,66,NaN
FLOWOOD RESTITUTION CENTER,March,2017,37,43,NaN
PASCAGOULA RESTITUTION CENTER,March,2017,75,78,NaN
GREENWOOD RESTITUTION CENTER,April,2017,53,55,NaN
HINDS RESTITUTION CENTER,April,2017,66,71,NaN
FLOWOOD RESTITUTION CENTER,April,2017,43,42,NaN
PASCAGOULA RESTITUTION CENTER,April,2017,78,71,NaN
GREENWOOD RESTITUTION CENTER,May,2017,55,48,NaN
HINDS RESTITUTION CENTER,May,2017,71,74,NaN
FLOWOOD RESTITUTION CENTER,May,2017,42,40,NaN
PASCAGOULA RESTITUTION CENTER,May,2017,71,74,NaN
GREENWOOD RESTITUTION CENTER,June,2017,48,57,NaN
HINDS RESTITUTION CENTER,June,2017,74,69,NaN
FLOWOOD RESTITUTION CENTER,June,2017,40,34,NaN
PASCAGOULA RESTITUTION CENTER,June,2017,74,76,NaN
GREENWOOD RESTITUTION CENTER,July,2017,57,54,NaN
HINDS RESTITUTION CENTER,July,2017,69,70,NaN
FLOWOOD RESTITUTION CENTER,July,2017,34,36,NaN
PASCAGOULA RESTITUTION CENTER,July,2017,76,72,NaN
GREENWOOD RESTITUTION CENTER,August,2017,36,44,64
HINDS RESTITUTION CENTER,August,2017,54,64,76
FLOWOOD RESTITUTION CENTER,August,2017,70,76,78
PASCAGOULA RESTITUTION CENTER,August,2017,72,71,76
GREENWOOD RESTITUTION CENTER,September,2017,44,39,64
HINDS RESTITUTION CENTER,September,2017,64,57,76
FLOWOOD RESTITUTION CENTER,September,2017,73,70,78
PASCAGOULA RESTITUTION CENTER,September,2017,71,68,76
GREENWOOD RESTITUTION CENTER,October,2017,39,39,64
HINDS RESTITUTION CENTER,October,2017,57,62,76
FLOWOOD RESTITUTION CENTER,October,2017,70,69,78
PASCAGOULA RESTITUTION CENTER,October,2017,68,72,76
